index,Category,cat,Installs,Install_pct,install_sum
61,WEATHER,Paid,812000,0.001906,426100520
60,WEATHER,Free,425288520,0.998094,426100520
24,FOOD_AND_DRINK,Free,273838751,0.999781,273898751
25,FOOD_AND_DRINK,Paid,60000,0.000219,273898751
12,DATING,Free,264289457,0.999919,264310807
13,DATING,Paid,21350,0.000081,264310807
30,HOUSE_AND_HOME,Free,168712461,1.000000,168712461
0,ART_AND_DESIGN,Free,124322100,0.999871,124338100
1,ART_AND_DESIGN,Paid,16000,0.000129,124338100
31,LIBRARIES_AND_DEMO,Free,62995910,1.000000,62995910
9,COMICS,Free,56086150,1.000000,56086150
36,MEDICAL,Free,52265165,0.981368,53257437
37,MEDICAL,Paid,992272,0.018632,53257437
2,AUTO_AND_VEHICLES,Free,53080061,0.999056,53130211
3,AUTO_AND_VEHICLES,Paid,50150,0.000944,53130211
40,PARENTING,Free,31471010,0.998411,31521110
41,PARENTING,Paid,50100,0.001589,31521110
4,BEAUTY,Free,27197050,1.000000,27197050
18,EVENTS,Free,15973160,1.000000,15973161
19,EVENTS,Paid,1,0.000000,15973161
